,link,name,type,price,address,built_up,land_area,bedrooms,bathrooms,monthly_installment,land_title,tenure,price_per_sqft,state
21,/property/kl-sentral/the-sentral-residences/sale-7829481/,"The Sentral Residences, KL Sentral",Serviced Residence  , 1680000,"Jalan Stesen Sentral 2, KL Sentral, 50470, Kuala Lumpur", 1485 sq. ft., 1485 sq. ft.,2+1,3," 7,572 ",Serviced Residence,Freehold,-, Kuala Lumpur
22,/property/cyberjaya/sale-8120487/,"THE MAISON @ PERDANA LAKEVIEW, Cyberjaya",2-sty Terrace/Link House  , 890000,"CYBERJAYA, CYBERJAYA CITY CENTRE, PERSIARAN APEC, PERSIARAN MULIA, LAKESIDE, LAKEFRONT, CYBERJAYA, Selangor, THE MAISON @ PERDANA LAKEVIEW, 63000, Selangor", 2800 sq. ft., 2800 sq. ft.,4+1,4," 4,011 ",2-sty Terrace/Link House,Freehold,-, Selangor
23,/property/klcc/suria-stonor/sale-7824506/,"Suria Stonor, KLCC",Serviced Residence  , 2070000,"Lorong Stonor, KLCC, 50450, Kuala Lumpur", 3283 sq. ft., 3283 sq. ft.,3+1,4," 9,329 ",Serviced Residence,Freehold,-, Kuala Lumpur
24,/property/klcc/suria-stonor/sale-7824506/,"Suria Stonor, KLCC",Serviced Residence  , 2070000,"Lorong Stonor, KLCC, 50450, Kuala Lumpur", 3283 sq. ft., 3283 sq. ft.,3+1,4," 9,329 ",Serviced Residence,Freehold,-, Kuala Lumpur
25,/property/klcc/marc-residence/sale-7824157/,"Marc Residence, KLCC",Serviced Residence  , 1450000,"No. 3 Jalan Pinang, KLCC, 50450, Kuala Lumpur", 927 sq. ft., 927 sq. ft.,2,2," 6,535 ",Serviced Residence,Freehold,-, Kuala Lumpur
26,/property/port-klang/gravit-8/sale-8192397/,"Gravit8, Port Klang",Serviced Residence  , 380000,"Lebuhraya Pulau Indah, Port Klang, 42000, Selangor", 792 sq. ft., 792 sq. ft.,2,2," 1,713 ",Serviced Residence,Freehold,-, Selangor
27,/new-property/property/puchong/puchong-legenda/new-6051/,Puchong Legenda,3-sty Terrace/Link House  ,0,"Puchong, Selangor", From 3163 - 5208 sq. ft., From 3163 - 5208 sq. ft.,5,5 - 6," 4,227 ",Residential,N/A,Contact for price, Selangor
28,/property/kepong/sale-2930599/,"Taman Megah Kepong, Kepong Baru, , Kepong",3-sty Terrace/Link House | Intermediate  , 1500000,"Jalan Helang Laut , Helang Siput, Taman Petaling, Taman Megah Kepong, Kepong Baru, , Kuala Lumpur", 3367 sq. ft., 3367 sq. ft.,5+2,6," 6,760 ",3-sty Terrace/Link House,Freehold,-, Kuala Lumpur
29,/property/seremban-2/sale-7838845/,Seremban 2,2-sty Terrace/Link House | Intermediate  , 548000,"seremban 2, Negeri Sembilan", 2001 sq. ft., 2001 sq. ft.,4,3," 2,470 ",2-sty Terrace/Link House,Freehold,-, Negeri Sembilan
30,/new-property/property/shah-alam/city-of-elmina-ilham-residence/new-6071/,City of Elmina : Ilham Residence,2-sty Terrace/Link House  ,0,"City Of Elmina, Shah Alam, Selangor", From 1387 - 2341 sq. ft., From 1387 - 2341 sq. ft.,3 - 5,2 - 3," 2,897 ",Residential,N/A,Contact for price, Selangor
31,/property/shah-alam/geo-bukit-rimau/sale-7802065/,"Geo Bukit Rimau, Bukit Rimau, Shah Alam",Serviced Residence  , 390000,"Jalan Sungai Burung 32/68, Bukit Rimau, 40460, Selangor", 655 sq. ft., 655 sq. ft.,2,2," 1,758 ",Serviced Residence,-,-, Selangor
32,/property/horizon-hills/sale-7841257/,"Valley West Land size 37x 70, Horizon Hills",2-sty Terrace/Link House | EndLot  , 930000,"Valley West Land size 37x 70, 79100, Johor", 1680 sq. ft., 1680 sq. ft.,3+1,4," 4,191 ",2-sty Terrace/Link House,Freehold,-, Johor
33,/property/iskandar-puteri-nusajaya/sale-8274002/,"East Ledang, Iskandar Puteri (Nusajaya)",Semi-detached House | Intermediate  , 1450000,"East Ledang, Johor", 4050 sq. ft., 4050 sq. ft.,6,6," 6,535 ",Semi-detached House,Freehold,-, Johor
34,/new-property/property/damansara-heights/dc-residensi-damansara-height/new-5445/,DC Residensi @ Damansara Height,Serviced Residence  ,0,"Damansara Heights, Kuala Lumpur", From 904 - 4478 sq. ft., From 904 - 4478 sq. ft.,1 - 5,1 - 4," 7,901 ",Residential,N/A,"From RM 1,400 - RM 2,000", Kuala Lumpur
35,/property/ayer-keroh/sale-7831278/,"Anjung Gapam Bungalow, Ayer Keroh",Bungalow | Intermediate  , 599900,"Anjung Gapam Bungalow, Melaka", 2378 sq. ft., 2378 sq. ft.,4,3," 2,704 ",Bungalow,Leasehold,-, Melaka
36,/property/klcc/hampshire-park-condominium/sale-7143764/,"Hampshire Park Condominium, Hampshire Park, KLCC",Condominium | Corner  , 1500000,"Persiaran Hampshire, Hampshire Park, 50450, Kuala Lumpur", 1830 sq. ft., 1830 sq. ft.,2+1,2," 6,760 ",Condominium,Freehold,-, Kuala Lumpur
37,/property/ampang/sale-8388473/,Ampang,Semi-detached House  , 2200000,Selangor, 3000 sq. ft., 3000 sq. ft.,7+1,7," 9,915 ",Semi-detached House,Leasehold,-, Selangor
38,/new-property/property/seremban/allora-residensi-sigc/new-5618/,Allora @ Residensi SIGC,Semi-detached House  ,0,"Residensi SIGC, Seremban, Negeri Sembilan", From 4054 - 4151 sq. ft., From 4054 - 4151 sq. ft.,4 - 5,4 - 5," 4,948 ",Residential,N/A,RM 271, Negeri Sembilan
39,/property/ipoh/sale-8386069/,Ipoh,Semi-detached House | Intermediate  , 575000,Perak, -, -,5,6," 2,591 ",Semi-detached House,-,-, Perak
40,/property/taman-melawati/sale-8370437/,"Jalan B, Taman Melawati, Taman Melawati",2-sty Terrace/Link House  , 1060000,"Jalan B, Taman Melawati, Kuala Lumpur", 2300 sq. ft., 2300 sq. ft.,4+2,5," 4,777 ",2-sty Terrace/Link House,Freehold,Owner Occupied, Kuala Lumpur
41,/property/desa-park-city/sale-7286106/,"The mansion, desa park city, Desa ParkCity",3.5-sty Terrace/Link House | Intermediate  , 5900000,"The mansion, desa park city , The mansion, desa park city, 52200, Kuala Lumpur", 7000 sq. ft., 7000 sq. ft.,7+1,9," 26,590 ",3.5-sty Terrace/Link House,-,-, Kuala Lumpur
42,/property/setia-alam/sale-8349920/,"Setia Alam, Anjung Sari, Setia Alam",3-sty Terrace/Link House | Intermediate  , 748000,"Setia Alam, Setia Alam, Anjung Sari, 40170, Selangor", 2930 sq. ft., 2930 sq. ft.,5+1,5," 3,371 ",3-sty Terrace/Link House,Freehold,-, Selangor
43,/property/johor-bahru/aloha-tower-condominium/sale-8339802/,"Aloha Tower Condominium, Johor Bahru",Condominium | Corner  , 460000,"Jalan Kolam Ayer, Johor Bahru, 80100, Johor", 1668 sq. ft., 1668 sq. ft.,4,3," 2,073 ",Condominium,Freehold,-, Johor
44,/property/kl-city/agile-bukit-bintang/sale-8380662/,"Agile Bukit Bintang, Bukit Bintang, KL City",Serviced Residence | Intermediate  , 1413800,"Jalan Bukit Bintang, Bukit Bintang, 55100, Kuala Lumpur", 625 sq. ft., 625 sq. ft.,1+1,1," 6,372 ",Serviced Residence,Freehold,-, Kuala Lumpur
45,/property/bandar-kinrara/rimba-residence/sale-8269641/,"Rimba Residence, Bandar Kinrara",Condominium | Corner  , 630000,"Jalan BK 5b/5, Bandar Kinrara, 47180, Selangor", 1169 sq. ft., 1169 sq. ft.,3,2," 2,839 ",Condominium,Freehold,-, Selangor
46,/property/tanjong-tokong/sale-8263771/,"E&O Ariza Terrace ENO Ariza Terrace, Tanjong Tokong",2.5-sty Terrace/Link House | Intermediate  , 1790000,"ENO Ariza Courtyard Terrace Seri Tanjung Pinang Landed Straits Quay Landed E&O Landed ENO Landed, E&O Ariza Terrace ENO Ariza Terrace, 10470, Penang", 3500 sq. ft., 3500 sq. ft.,4+1,5," 8,067 ",2.5-sty Terrace/Link House,Freehold,-, Penang
47,/property/tanjong-tokong/sale-8267632/,"E&O Terrace ENO Terrace, Tanjong Tokong",2.5-sty Terrace/Link House | Intermediate  , 1830000,"E&O Ariza Courtyard Terrace Seri Tanjung Pinang Landed Straits Quay Landed E&O Landed ENO Landed, E&O Terrace ENO Terrace, Penang", 3500 sq. ft., 3500 sq. ft.,4+1,5," 8,248 ",2.5-sty Terrace/Link House,Freehold,-, Penang
48,/property/jalan-klang-lama-old-klang-road/petalz-residences/sale-5830611/,"Petalz Residences, Jalan Klang Lama (Old Klang Road)",Condominium  , 608000,"Jalan Klang Lama, Jalan Klang Lama (Old Klang Road), 58200, Kuala Lumpur", 935 sq. ft., 935 sq. ft.,3+1,2," 2,740 ",Condominium,Freehold,-, Kuala Lumpur
49,/property/bangsar/sale-7770465/,"TERASEK, BANGSAR, Bangsar",2-sty Terrace/Link House | Intermediate  , 1750000,"BANGSAR, TERASEK, BANGSAR, Kuala Lumpur", 2000 sq. ft., 2000 sq. ft.,4,3," 7,887 ",2-sty Terrace/Link House,Freehold,-, Kuala Lumpur
50,/property/mont-kiara/sale-7875909/,"duta Tropika, Mont Kiara",Bungalow | Intermediate  , 4500000,"duta Tropika, 50480, Kuala Lumpur", 4376 sq. ft., 4376 sq. ft.,5+1,6," 20,281 ",Bungalow,Freehold,-, Kuala Lumpur
51,/new-property/property/subang-jaya/subang-jaya-city-centre-sjcc-tropika-paradise/new-1198/,Subang Jaya City Centre (SJCC) : Tropika Paradise,Condominium  , 560888,"Subang Jaya, Selangor", 1410 sq. ft., 1410 sq. ft.,3,2," 2,528 ",Residential,N/A,RM 398, Selangor
52,/property/iskandar-puteri-nusajaya/sale-8194652/,"Bukit Indah, Iskandar Puteri (Nusajaya)",2-sty Terrace/Link House | Intermediate  , 680000,"jalan indah 29, nusa idaman, nusa sentral, sutera, Bukit Indah, 79100, Johor", -, -,3,3," 3,065 ",2-sty Terrace/Link House,Freehold,-, Johor
53,/property/klcc/banyan-tree-signatures/sale-4826254/,"Banyan Tree Signatures, KLCC",Serviced Residence | Corner  , 3500000,"Jalan Conlay, KLCC, 55100, Kuala Lumpur", 1668 sq. ft., 1668 sq. ft.,2+1,3," 15,774 ",Serviced Residence,Freehold,-, Kuala Lumpur
54,/new-property/property/kota-kemuning/elemen-residences/new-6040/,Elemen Residences,2-sty Terrace/Link House  ,0,"Tropicana Aman, Kota Kemuning, Selangor", From 3013 - 3142 sq. ft., From 3013 - 3142 sq. ft.,5,4 - 5, 0 ,Unknown,N/A,Contact for price, Selangor
55,/property/subang-jaya/usj-one-avenue-condo/sale-7894112/,"USJ One Avenue Condo, USJ 1 Subang Jaya, Subang Jaya",Condominium | Intermediate  , 590000,"Persiaran Mewah, USJ 1 Subang Jaya, 47500, Selangor", 1705 sq. ft., 1705 sq. ft.,3+1,3," 2,659 ",Condominium,Leasehold,-, Selangor
56,/property/plentong/sale-8086877/,"Taman Sierra Perdana, Masai, Plentong",2-sty Terrace/Link House | Intermediate  , 420000,"Taman Sierra Perdana, Masai, Johor", 2500 sq. ft., 2500 sq. ft.,4,3," 1,893 ",2-sty Terrace/Link House,-,-, Johor
57,/property/bukit-jalil/parkhill-residence/sale-8415199/,"Parkhill Residence, Bukit Jalil",Condominium | Corner  , 650000,"Technology Park Malaysia, 57000 Bukit Jalil, Bukit Jalil, 57000, Kuala Lumpur", 1300 sq. ft., 1300 sq. ft.,4,2," 2,929 ",Condominium,Leasehold,-, Kuala Lumpur
58,/new-property/property/shah-alam/amverton-greens/new-6059/,Amverton Greens,Apartment  ,0,"Kota Kemuning, Shah Alam, Selangor", From 953 - 1528 sq. ft., From 953 - 1528 sq. ft.,3 - 5,2 - 5," 2,244 ",Residential,N/A,From RM 522 - RM 619, Selangor
59,/property/selayang/sale-7422755/,"Selayang Landed house, Selayang",3-sty Terrace/Link House | Intermediate  , 1200000,"Selayang Landed house, Selangor", 3276 sq. ft., 3276 sq. ft.,5,5," 5,408 ",3-sty Terrace/Link House,Leasehold,-, Selangor
60,/property/bukit-rahman-putra/sale-8301598/,Bukit Rahman Putra,2-sty Terrace/Link House  , 490000,Selangor, 1500 sq. ft., 1500 sq. ft.,4,3," 2,208 ",2-sty Terrace/Link House,Malay Reserved Land,-, Selangor
61,/property/klcc/le-nouvel/sale-8301285/,"Le Nouvel, KLCC",Condominium  , 5210000,"152, Jalan Ampang, 50450, Kuala Lumpur", 1722 sq. ft., 1722 sq. ft.,2,3," 23,481 ",Condominium,-,-, Kuala Lumpur
62,/new-property/property/petaling-jaya/121-residences/new-6055/,121 Residences,Serviced Residence  ,0,"Petaling Jaya, Selangor", From 450 - 750 sq. ft., From 450 - 750 sq. ft.,2 - 3,1 - 2," 1,433 ",Residential,N/A,Contact for price, Selangor
63,/property/iskandar-puteri-nusajaya/sale-8218012/,"Taman Nusa Duta, Iskandar Puteri (Nusajaya)",Cluster House  , 788000,"Nusa Duta 2, Taman Nusa Duta, 79150, Johor", -, -,4+1,5," 3,551 ",Cluster House,Freehold,-, Johor
64,/property/skudai/flat-taman-ungku-tun-aminah/sale-8145739/,"Flat Taman Ungku Tun Aminah, Skudai",Flat  , 108000,"Jalan Hulubalang, Skudai, 81300, Johor", 495 sq. ft., 495 sq. ft.,2,1, 487 ,Flat,Freehold,-, Johor
65,/property/klcc/le-nouvel/sale-8301796/,"Le Nouvel, KLCC",Condominium  , 4380000,"152, Jalan Ampang, 50450, Kuala Lumpur", 1722 sq. ft., 1722 sq. ft.,2,3," 19,740 ",Condominium,-,-, Kuala Lumpur
66,/property/iskandar-puteri-nusajaya/sale-8042720/,"Taman Bukit Indah, Iskandar Puteri (Nusajaya)",2-sty Terrace/Link House | Intermediate  , 599000,"Jalan Indah 7, Taman Bukit Indah, 79100, Johor", -, -,4,3," 2,700 ",2-sty Terrace/Link House,Freehold,-, Johor
67,/property/horizon-hills/sale-8331623/,"Horizon Hills THE GATEWAY, Horizon Hills",Cluster House | Intermediate  , 808000,"Jalan Ambang. horizon hills. Nusajaya. eco botanic, nusa duta. nusa idaman, east ledang, bukit indah, Horizon Hills THE GATEWAY, 79100, Johor", 2300 sq. ft., 2300 sq. ft.,4+1,3," 3,642 ",Cluster House,Freehold,-, Johor
68,/property/mutiara-damansara/sale-6535495/,Mutiara Damansara,Bungalow | Intermediate  , 5000000,"Mutiara Damansara, Selangor", 4500 sq. ft., 4500 sq. ft.,6+1,7," 22,534 ",Bungalow,Freehold,-, Selangor
69,/property/bayan-lepas/the-amarene/sale-6577784/,"The Amarene, Bayan Lepas",Condominium  , 670000,"Jalan Tun Dr Awang, Bayan Lepas, 11900, Penang", 1200 sq. ft., 1200 sq. ft.,3,3," 3,020 ",Condominium,Freehold,-, Penang
70,/property/bukit-minyak/sale-8122446/,"Bukit Mertajam, Bukit Minyak",Bungalow | Corner  , 2880000,"Bukit Mertajam, Penang", 6500 sq. ft., 6500 sq. ft.,10,6," 12,980 ",Bungalow,Freehold,-, Penang
71,/property/bandar-sungai-long/sale-5794004/,"BANDAR SUNGAI LONG SECTION 6, KAJANG, Bandar Sungai Long",2-sty Terrace/Link House | Intermediate  , 595000,"JALAN SL 6/10, BANDAR SUNGAI LONG SECTION 6, KAJANG, 43000, Selangor", 2196 sq. ft., 2196 sq. ft.,4,2," 2,682 ",2-sty Terrace/Link House,Freehold,Owner Occupied, Selangor
72,/property/kulai/sale-6047323/,"Bandar Putra, Kulaijaya, Kulai",Cluster House | Intermediate  , 810000,"Jalan Ceria, Bandar Putra, Kulaijaya, 81000, Johor", -, -,4+1,4," 3,651 ",Cluster House,Freehold,-, Johor
73,/property/tampoi/sky-peak-residences/sale-8409171/,"Sky Peak Residences, Setia Tropika, Tampoi",Serviced Residence | Intermediate  , 470000,"Jalan Setia Tropika 1/16, Setia Tropika, 81200, Johor", 1076 sq. ft., 1076 sq. ft.,3,2," 2,118 ",Serviced Residence,Freehold,-, Johor
74,/property/klcc/quadro-residences/sale-5357079/,"Quadro Residences, KLCC",Serviced Residence  , 2680000,"Jalan Kia Peng, KLCC, 50450, Kuala Lumpur", 2343 sq. ft., 2343 sq. ft.,4+1,5," 12,078 ",Serviced Residence,Freehold,-, Kuala Lumpur
75,/new-property/property/damansara-heights/klgcc-resort-senada-residence/new-5454/,KLGCC Resort : Senada Residence,Serviced Residence  ,0,"Bukit Kiara, Damansara Heights, Kuala Lumpur", From 732 - 958 sq. ft., From 732 - 958 sq. ft.,1 - 2,1 - 2," 4,507 ",Residential,N/A,Contact for price, Kuala Lumpur
76,/property/skudai/sale-8437564/,Skudai,2-sty Terrace/Link House  , 330000,Johor, 770 sq. ft., 770 sq. ft.,3,2," 1,487 ",2-sty Terrace/Link House,-,-, Johor
77,/property/perling/sale-8437540/,Perling,2-sty Terrace/Link House  , 680000,"sutera kuning, Johor", 1760 sq. ft., 1760 sq. ft.,4,3," 3,065 ",2-sty Terrace/Link House,Freehold,-, Johor
78,/new-property/property/kl-city/one-cochrane-residences/new-5821/,One Cochrane Residences,Condominium  ,0,"Jalan Cochrane, KL City, Kuala Lumpur", From 926 - 1227 sq. ft., From 926 - 1227 sq. ft.,1 - 3,2 - 3," 3,966 ",Residential,N/A,Contact for price, Kuala Lumpur
79,/property/ulu-tiram/sale-8322383/,"Desa Cemerlang, Desa Cemerlang, Desa Cemerlang, Ulu Tiram",2-sty Terrace/Link House | Intermediate  , 399000,"Jalan Kekabu, Desa Cemerlang, Desa Cemerlang, Desa Cemerlang, 81800, Johor", 1950 sq. ft., 1950 sq. ft.,4,3," 1,798 ",2-sty Terrace/Link House,Freehold,-, Johor
80,/property/johor-bahru/sale-8437530/,"Austin Residence, Johor Bahru",2-sty Terrace/Link House | Intermediate, 660000,"Austin Residence, Johor", -, -,4,3," 2,975 ",2-sty Terrace/Link House,-,-, Johor
81,/property/cheras/eko-cheras/sale-8437376/,"EkoCheras, Cheras",Serviced Residence | Duplex  , 588000,"Jalan Cheras, Cheras, 55300, Kuala Lumpur", 762 sq. ft., 762 sq. ft.,1,2," 2,650 ",Serviced Residence,Freehold,-, Kuala Lumpur
82,/new-property/property/bangsar/the-estate/new-5355/,The Estate,Condominium  ,0,"South Bangsar, Bangsar, Kuala Lumpur", From 2346 - 7057 sq. ft., From 2346 - 7057 sq. ft.,4 - 5,4 - 6," 8,373 ",Residential,N/A,Contact for price, Kuala Lumpur
83,/property/cheras/eko-cheras/sale-8048097/,"EkoCheras, Cheras",Serviced Residence | EndLot  , 450000,"Jalan Cheras, Cheras, 55300, Kuala Lumpur", 596 sq. ft., 596 sq. ft.,1,1," 2,028 ",Serviced Residence,Freehold,-, Kuala Lumpur
84,/property/pasir-gudang/sale-8437429/,Pasir Gudang,2-sty Terrace/Link House, 195000,"Jalan Nenas, Pasir Gudang, 81700, Johor", -, -,2,1, 879 ,2-sty Terrace/Link House,-,-, Johor
85,/property/cyberjaya/sale-8164071/,Cyberjaya,Bungalow  , 6500000,Selangor, 8000 sq. ft., 8000 sq. ft.,7,9," 29,295 ",Bungalow,Freehold,-, Selangor
86,/new-property/property/pasir-gudang/acacia/new-6056/,Acacia,2-sty Terrace/Link House  ,0,"Meridin East, Pasir Gudang, Johor", From 1838 sq. ft., From 1838 sq. ft.,4,3," 2,244 ",Residential,N/A,Contact for price, Johor
87,/property/kota-samarahan/sale-8437421/,Kota Samarahan,3-sty Terrace/Link House | Intermediate  , 470000,"KOTA SAMARAHAN, 94300, Sarawak", 2200 sq. ft., 2200 sq. ft.,5,3," 2,118 ",3-sty Terrace/Link House,-,-, Sarawak
88,/property/kulai/sale-8437385/,"Indahpura @ Jalan Sena, Kulai",1-sty Terrace/Link House | Intermediate, 408000,"Indahpura @ Jalan Sena, Johor", -, -,3,2," 1,839 ",1-sty Terrace/Link House,-,-, Johor
89,/property/ampang/sale-8437351/,"Sering Ukay, Ampang",2.5-sty Terrace/Link House  , 1350000,"Jalan SU 2C, Taman Sering Ukay, Ampang, Sering Ukay, 68000, Kuala Lumpur", 3098 sq. ft., 3098 sq. ft.,5+1,5," 6,084 ",2.5-sty Terrace/Link House,Freehold,-, Kuala Lumpur
90,/property/horizon-hills/sale-8187761/,"3 Storey Cluster, Jalan Maya, Horizon Hills, Horizon Hills",Cluster House | Intermediate  , 1920000,"Jalan Maya, 3 Storey Cluster, Jalan Maya, Horizon Hills, 79100, Johor", 4546 sq. ft., 4546 sq. ft.,5+1,6," 8,653 ",Cluster House,Freehold,-, Johor
91,/property/klcc/isola/sale-6677573/,"Isola, KLCC",Serviced Residence | Corner  , 1400000,"Jalan Yap Kwan Seng, KLCC, 50450, Kuala Lumpur", -, -,1+1,1," 6,310 ",Serviced Residence,Freehold,-, Kuala Lumpur
92,/property/kota-samarahan/sale-7672604/,Kota Samarahan,2-sty Terrace/Link House  , 478800,"94300, KOTA SAMARAHAN, 94300, Sarawak", -, -,4,3," 2,158 ",2-sty Terrace/Link House,Leasehold,-, Sarawak
93,/property/kota-samarahan/sale-7672546/,Kota Samarahan,Townhouse  , 610000,"94300, KOTA SAMARAHAN, 94300, Sarawak", 3005 sq. m., 3005 sq. m.,5,3," 2,749 ",Townhouse,Leasehold,-, Sarawak
94,/property/kota-samarahan/sale-7672519/,Kota Samarahan,Semi-detached House  , 738000,"94300, KOTA SAMARAHAN, 94300, Sarawak", -, -,4,3," 3,326 ",Semi-detached House,Freehold,-, Sarawak
